CÓDIGO,nombre_limpio,cantidad_base,unidad_base,CATEGORÍA
104512230,ACEITE OLIVA E VIRGEN OLITALIA 5 L (CAJA 2),5,l,ABARROTES
104539450,ACEITE OLIVA E VIRGEN OLIVE&CO 250 ML (CAJA 12),250,ml,ABARROTES
104539460,"ACEITE OLIVA E VIRGEN OLIVE&CO 4,85 L (UNIDAD)","4,85",l,ABARROTES
104524420,ACEITE OLIVA E VIRGEN ZAYTA 500 ML (CAJA 12),500,ml,ABARROTES
104539470,ACEITE OLIVA EVIRG SANTIAGO PREM 250 ML (CAJA 12),250,ml,ABARROTES
104521640,ACEITE OLIVA NUTRICAMPO 5 L (UNIDAD),5,l,ABARROTES
104537630,ACEITE OLIVA NUTRICAMPO 500 ML (CAJA 20),500,ml,ABARROTES
104514840,ACEITE OLIVA OLITALIA 5 L (CAJA),5,l,ABARROTES
104537620,ACEITE OLIVA ORO VERDE 8 ML (CAJA 6),8,ml,ABARROTES
104534130,ACEITE SESAMO MAYAMOTO 500 ML (CAJA 12),500,ml,ABARROTES
104512690,"ACEITE SOYA MULTIPROPOSITO 17,25 L (UNIDAD)","17,25",l,ABARROTES
104511950,ACEITE SPRAY 481 G (CAJA 6),481,g,ABARROTES
104500860,ACEITE VEGETAL 5 L (CAJA 4),5,l,ABARROTES
104519250,ACEITE VEGETAL LOS SILOS 900 ML (CAJA 12),900,ml,ABARROTES
104519850,ACEITUNA NEGRA DESH BAJA EN SODIO 850 G (CAJA 10),850,g,ACEITUNAS Y ENCURTIDOS
104544600,ACEITUNA NEGRA DESHUESADA 850 G (CAJA 10),850,g,ACEITUNAS Y ENCURTIDOS
104549480,ACEITUNA NEGRA RODAJA 935G (CAJA 10),935,g,ACEITUNAS Y ENCURTIDOS
104516010,ACEITUNA NEGRA RODAJA 936 G (CAJA 10),936,g,ACEITUNAS Y ENCURTIDOS
104544610,ACEITUNA SEVILLANA DESHUESADA 850 G (CAJA 10),850,g,ACEITUNAS Y ENCURTIDOS
104520490,ACEITUNA SEVILLANA RODAJA 936 G (CAJA 10),936,g,ACEITUNAS Y ENCURTIDOS
104534280,ACETO BALSAMICO C VALVULA 5 L (CAJA 4),5,l,ABARROTES
101310243,ACETO BALSAMICO EDRA 500 CC (CAJA 12),500,cc,ABARROTES
104530120,ACETO BALSAMICO IMPERATORE 500 CC (CAJA 12),500,cc,ABARROTES
104531100,ACETO BALSAMICO MODENA OLITALIA 250 ML (CAJA 12),250,ml,ABARROTES
104514870,ACETO BALSAMICO OLITALIA 5 L (CAJA 2),5,l,ABARROTES
104539520,ACETO BALSAMICO OLIVE&CO 250 ML (CAJA 12),250,ml,ABARROTES
104539440,ACETO BALSAMICO SANTIAGO 250 ML (CAJA 12),250,ml,ABARROTES
104547960,ADEREZO MAYONESA CON AJO HELLMANNS 950 G (CAJA 10),950,g,SALSAS Y CONDIMENTOS
107600030,AGUA MIN C GAS PET PUYEHUE 500 CC (CAJA 12),500,cc,BEBIDAS
107600010,AGUA MIN C GAS VIDRIO PUYEHUE 330 CC (CAJA 12),330,cc,BEBIDAS
107600040,AGUA MIN S GAS PET PUYEHUE 500 CC (CAJA 12),500,cc,BEBIDAS
107600020,AGUA MIN S GAS VIDRIO PUYEHUE 330 CC (CAJA 12),330,cc,BEBIDAS
104527910,AJI COLOR 250 G (CAJA 40),250,g,SALSAS Y CONDIMENTOS
201200010,AJI EN CREMA DON JUAN 900 G RRP (CAJA 15),900,g,SALSAS Y CONDIMENTOS
201220930,AJI EN CREMA PET DON JUAN 240 G EN RRP (CAJA 24),240,g,SALSAS Y CONDIMENTOS
101310077,AJI JALAPENO INFERNO 250 G (CAJA 12),250,g,SALSAS Y CONDIMENTOS
104533710,"AJI JALAPENO VERDE RODAJAS TOUCHE 2,9 KG (CAJA 6)","2,9",kg,ACEITUNAS Y ENCURTIDOS
201220950,AJI MINI DON JUAN 8 G (CAJA 500),8,g,SALSAS Y CONDIMENTOS
104543220,AJI ROJO EN HOJUELAS 340 G BADIA (CAJA 6),340,g,SALSAS Y CONDIMENTOS
104528280,AJI SACHET JB 8 G (CAJA 528),8,g,SALSAS Y CONDIMENTOS
101310075,AJI SMOKED INFERNO 250G (CAJA 12),250,g,SALSAS Y CONDIMENTOS
104527920,AJO EN POLVO 250 G (CAJA 40),250,g,SALSAS Y CONDIMENTOS
104543230,AJO EN POLVO 454 G BADIA (CAJA 6),454,g,SALSAS Y CONDIMENTOS
201700302,AJO EN POLVO BOLSA 1KG EDRA (CAJA 10),1,kg,SALSAS Y CONDIMENTOS
104543240,AJO GRANULADO 680 G BADIA (CAJA 6),680,g,SALSAS Y CONDIMENTOS
104543250,ALBAHACA ENTERA 113 G BADIA (CAJA 6),113,g,SALSAS Y CONDIMENTOS
101200010,ALCAPARRA EDRA 110 G (CAJA 24),110,g,SALSAS Y CONDIMENTOS
150000983,ALCAPARRA FRASCO GOURMET 965 G (CAJA 6),965,g,SALSAS Y CONDIMENTOS
104534140,ALGA MARINA NORI BLUE MAYAMO 100U 280 GR (CAJA 45),280,gr,ABARROTES
104527960,ALINO COMPLETO 250 G (CAJA 40),250,g,SALSAS Y CONDIMENTOS
104543260,ALINO COMPLETO 794 G BADIA (CAJA 6),794,g,SALSAS Y CONDIMENTOS
104521210,ALMENDRA GRAJEADA VIZZIO 10 KG (CAJA),10,kg,ABARROTES
150001763,ALMENDRAS 1 KG (CAJA 10),1,kg,ABARROTES
104528800,ALMIDON DE MAIZ ALMIFRUT 1 KG (CAJA 10),1,kg,ABARROTES
201221650,AMERICANA DON JUAN 1 KG (CAJA 6),1,kg,ACEITUNAS Y ENCURTIDOS
104530130,AMERICANA TRAVERSO 1 KG (CAJA 6),1,kg,ACEITUNAS Y ENCURTIDOS
104518990,ANILLOS CALAMAR IQF 1KG IMPORTADO (CAJA 5),1,kg,PESCADOS Y MARISCOS
104541880,ARANDANOS IQF 1 KG (CAJA 10),1,kg,FRUTAS Y VERDURAS CONGELADAS
104539160,"AROS CEBOLLA AVIKO 1 KG 16,5 G (CAJA 6)",1,kg,PAPAS Y APERITIVOS
104543130,"AROS CEBOLLA NATURALES AVIKO 1 KG 20,6 G (CAJA 6)",1,kg,PAPAS Y APERITIVOS
104528730,ARROLLADO DE LOMO LAMINADO 500 GR (CAJA 4),500,gr,FIAMBRERIA
104521730,ARROLLADO JAMON QUESO 2 KG (CAJA 2),2,kg,PAPAS Y APERITIVOS
104521820,ARROLLADO PRIMAVERA 2 KG (CAJA 2),2,kg,PAPAS Y APERITIVOS
150000324,ARROZ G1 INTEGRAL TUCAPEL 1 KG (DISPLAY 10),1,kg,ABARROTES
104542630,ARROZ G1 LOS GRANOS 1 KG (DISPLAY 10),1,kg,ABARROTES
104519920,ARROZ G1 MIRAFLORES 1 KG (DISPLAY 10),1,kg,ABARROTES
150001807,ARROZ G1 NACIONAL TUCAPEL 2 KG (DISPLAY 5),2,kg,ABARROTES
104537640,ARROZ G2 BLUE BONNET TUCAPEL 1 KG (CAJA 10),1,kg,ABARROTES
104535120,ARROZ G2 LOS GRANOS 1 KG (DISPLAY 10),1,kg,ABARROTES
104527320,ARROZ G2 MIRAFLORES IMPORTADO 1 KG (DISPLAY 10),1,kg,ABARROTES
104513000,ARROZ G2 MIRAFLORES NACIONAL 1 KG (CAJA 10),1,kg,ABARROTES
104520620,ARROZ G2 TUCAPEL NACIONAL 2 KG (DISPLAY 5),2,kg,ABARROTES
104544250,ARROZ PREGRANEADO G1 1 KG (DISPLAY 10),1,kg,ABARROTES
104544780,ARROZ PREGRANEADO IMPORTADO 1 KG (DISPLAY 10),1,kg,ABARROTES
104526560,ARROZ PREGRANEADO TUCAPEL 1 KG (DISPLAY 10),1,kg,ABARROTES
150001092,ARROZ RISOTTO ITALIANO TUCAPEL 1 KG (CAJA 10),1,kg,ABARROTES
104529990,ARROZ SUSHI TUCAPEL 2 KG (DISPLAY 5),2,kg,ABARROTES
104547470,ARVEJAS IQF 1 KG (CAJA 10),1,kg,FRUTAS Y VERDURAS CONGELADAS
104519690,ARVEJAS IQF ARDO 1 KG (CAJA 10),1,kg,FRUTAS Y VERDURAS CONGELADAS
104301050,"ARVEJAS IQF ARDO 2,5 KG (CAJA 4)","2,5",kg,FRUTAS Y VERDURAS CONGELADAS
104535130,ARVEJAS PARTIDAS LOS GRANOS 1KG (DISPLAY 10),1,kg,ABARROTES
104537540,ASADO CARNICERO CAT V VACIO BRASIL (CAJA),,,CARNES
150001954,ASADO CARNICERO CAT V VACIO PARAGUAY (CAJA),,,CARNES
104539700,ASADO CARNICERO PORC CAT V VACIO PRY (CAJA),,,CARNES
104539840,ASADO DE TIRA 2 CM CAT V CONG CHILE (CAJA),2,cm,CARNES
104523480,ASADO DE TIRA 3C CERTIFIED ANGUS BEEF (CAJA),,,CARNES
104539850,ASADO DE TIRA 8 CM CAT V CONG CHILE (CAJA),8,cm,CARNES
104548680,ASTIL 30CM REDONDA NEGRO ACE INOX (CAJA 48),30,cm,UTENSILIOS Y SUMINISTROS
101500001,ATUN ACEITE ESMERALDA 160 G IMPORTADO (CAJA 48),160,g,CONSERVAS
102140410,ATUN ACEITE VAN CAMPS 160 G IMPORTADO (CAJA 48),160,g,CONSERVAS
102100002,ATUN ACEITE VAN CAMPS 320 G IMPORTADO (CAJA 24),320,g,CONSERVAS
102140230,ATUN ACEITE VAN CAMPS 3U (CAJA 16),,,CONSERVAS
101500000,ATUN AGUA ESMERALDA 160 G IMPORTADO (CAJA 48),160,g,CONSERVAS
102140420,ATUN AGUA VAN CAMPS 160 G IMPORTADO (CAJA 48),160,g,CONSERVAS
102140240,ATUN AGUA VAN CAMPS 3 UDS 80 G IMP (CAJA 16),80,g,CONSERVAS
102100001,ATUN AGUA VAN CAMPS 320 G IMPORTADO (CAJA 24),320,g,CONSERVAS
104549300,ATUN EN TROZOS 50 UP CJ 10 KG IQF (CAJA 20),10,kg,PESCADOS Y MARISCOS
105045260,ATUN LOMO 2 3 KG CJ 15 KG IMPORTADO (CAJA),3,kg,PESCADOS Y MARISCOS
104549310,ATUN STEAK IVP 150 200 GR CJ 5 KG (CAJA),200,gr,PESCADOS Y MARISCOS
104521670,ATUN STEAK IVP 210 240 GR CJ 5 KG (CAJA),240,gr,PESCADOS Y MARISCOS
104527560,AVENA INSTANTANEA PURA AVENA 500 G (CAJA 16),500,g,ABARROTES
104527550,AVENA INSTANTANEA PURA AVENA 900 G (CAJA 10),900,g,ABARROTES
104512990,AZUCAR FLOR CAMSA 1 KG (CAJA 10),1,kg,ABARROTES
104524570,AZUCAR FLOR IANSA 25 KG (SACO),25,kg,ABARROTES
150000892,AZUCAR FLOR IANSA 500 G (CAJA 20),500,g,ABARROTES
104546960,AZUCAR G2 CAMSA 1 KG (CAJA 10),1,kg,ABARROTES
104534660,AZUCAR G2 DAMA BLANCA 1 KG (DISPLAY 20),1,kg,ABARROTES
150000893,AZUCAR G2 IANSA 1 KG (CAJA 20),1,kg,ABARROTES
104520990,AZUCAR G2 IANSA 25 KG (SACO),25,kg,ABARROTES
104521980,AZUCAR G2 IANSA 5 KG (SACO),5,kg,ABARROTES
104530200,AZUCAR MINI 5 G (CAJA 800),5,g,ABARROTES
104521200,AZUCAR MINI IANSA 5 G (CAJA 800),5,g,ABARROTES
104501230,AZUCAR MINI ICB 5 G (CAJA 800),5,g,ABARROTES
104501170,AZUCAR MINI LAVAZZA 5 G (CAJA 800),5,g,ABARROTES
104534100,AZUCAR RUBIA IANSA 500 G (CAJA 18),500,g,ABARROTES
104501150,AZUCAR RUBIA MINI ICB 5 G (CAJA 800),5,g,ABARROTES
104529460,BARQUILLO CON CHOCOLATE POPPIES (CAJA 110),,,BOLLERÍA Y PASTELERIA
150000048,BARRA CHOCOCEREAL COSTA 18 G (CAJA 6),18,g,ABARROTES
101800146,BARRA CHOCOLATE COOKIES AND CREAM 4X18X7 (CAJA 72),,,ABARROTES
101800144,BARRA CHOCOLATE LECHE 4X18X82GR (CAJA 72),82,gr,ABARROTES
150001549,BARRA FRUTAS Y YOGURT COSTA 21 G (CAJA 6),21,g,ABARROTES
150001548,BARRA FRUTOS ROJOS Y YOGURT COSTA 21 G (CAJA 6),21,g,ABARROTES
150001787,BARRA GOLDEN CEREAL COSTA 18 G (CAJA 6),18,g,ABARROTES
104542840,BASE HELADO SOFT SABOR CHOCOLATE 1 LT (CAJA 12),1,lt,REPOSTERIA
104542830,BASE HELADO SOFT SABOR VAINILLA 1 LT (CAJA 12),1,lt,REPOSTERIA
104538940,BASE MAQUINA PREMIUM INROOM (UNIDAD),,,CAFE Y BEBIDAS CALIENTES
104545130,BASE PIZZA C POMODORO 28CM PACK 3UN (CAJA 8),28,cm,PLATOS PREPARADOS
105020070,BATIDOR DE LECHE BLANCO LAVAZZA (UNIDAD),,,MAQUINAS Y REPUESTOS
104534590,BOLSA BASURA BIO 100X120 VIRUTEX 5 UDS (CAJA 9),,,HIGIENE Y LIMPIEZA
104534560,BOLSA BASURA BIO 50X70 VIRUTEX 10 UDS (CAJA 24),,,HIGIENE Y LIMPIEZA
104534570,BOLSA BASURA BIO 70X90 VIRUTEX 10 UDS (CAJA 24),,,HIGIENE Y LIMPIEZA
104532720,BOLSA BASURA BIO 80X110 VIRUTEX 10 UDS (CAJA 24),,,HIGIENE Y LIMPIEZA
104534580,BOLSA BASURA BIO 80X120 VIRUTEX 10 UDS (CAJA 12),,,HIGIENE Y LIMPIEZA
150001407,BOLSA BASURA TRAN 90X110 VIRUTEX 10 UDS (CAJA 5),,,HIGIENE Y LIMPIEZA
104547970,BOLSA KRAFT MEDIANA C MANILLA 200 UN (CAJA 200),200,un,EMPAQUES
104545240,BOLSA TERMICA FRIO CALOR 49X41CM (CAJA 10),41,cm,EMPAQUES
150002022,BOM BOM VIZZIO 432 G (CAJA 12),432,g,ABARROTES
40004996,BOMBA VOLUMETRICA FLOJET  (UNIDAD),,,MAQUINAS Y REPUESTOS
104524930,BOMBILLA BICOLOR 8 MM (CAJA 25),,,EMPAQUES
104524100,BOMBILLA ENVASADA NEGRA 6 MM (CAJA 25),,,EMPAQUES
105010800,BOWL BLANCO 1000 ML 500 UNID (CAJA 500),1000,ml,EMPAQUES
104539730,BOWL PAPEL KRAFT BLANCO 16 OZ PLA COMPOS (CAJA 1000),,,EMPAQUES
104537800,BOWL PAPEL KRAFT BLANCO 16 OZ PLA COMPOS (CAJA 500),,,EMPAQUES
104537850,BOWL PAPEL KRAFT BLANCO 4 OZ PLA COMPOST (CAJA 1000),,,EMPAQUES
104541820,BOWL PAPEL KRAFT BLANCO 8 OZ PLA COMPOST (CAJA 1000),,,EMPAQUES
101600084,BRICK CAFE CREMA E GUSTO LAVAZZA 250 G (CAJA 20),250,g,CAFE Y BEBIDAS CALIENTES
101600081,BRICK DESCAFEINADO 250 G (CAJA 20),250,g,CAFE Y BEBIDAS CALIENTES
101600091,BRICK ESPRESSO ITALIANO 250 G  (CAJA 20),250,g,CAFE Y BEBIDAS CALIENTES
101600082,BRICK QUALITA ORO 250 G  (CAJA 20),250,g,CAFE Y BEBIDAS CALIENTES
101600083,BRICK QUALITA ROSSA LAVAZZA 250 G (CAJA 20),250,g,CAFE Y BEBIDAS CALIENTES
104525140,BROCHETA BAMBU 25 CM 200 UDS (CAJA 100),25,cm,EMPAQUES
150001177,BROCHETA BAMBU 25 CM 200 UDS (CAJA 50),25,cm,EMPAQUES
104547450,BROCOLI 1 KG (CAJA 10),1,kg,FRUTAS Y VERDURAS CONGELADAS
104520710,BROCOLI ARDO 1 KG (CAJA 6),1,kg,FRUTAS Y VERDURAS CONGELADAS
105154330,BROWNIE POPPIES 60 G (CAJA 60),60,g,BOLLERÍA Y PASTELERIA
104547420,BROWNIE POPPIES FLOWPACK S GLUTEN 60 G (CAJA 48),60,g,BOLLERÍA Y PASTELERIA
104540330,CABELLOS DE ANGEL CAROZZI 400 G (DISPLAY 30),400,g,ABARROTES
104544240,CABEZAL FILTRO VH (UNIDAD),,,MAQUINAS Y REPUESTOS
201350000,CACAO AMARGO COPACABANA 150 G BOLSA (CAJA 16),150,g,REPOSTERIA
101310213,CACAO AMARGO EDRA 1 KG (CAJA 10),1,kg,REPOSTERIA
101310214,CACAO DULCE EDRA 1 KG (CAJA 10),1,kg,REPOSTERIA
104548770,"CACEROLA BAJA CON TAPA Y MANGO 1,2LT (CAJA 2)",,,UTENSILIOS Y SUMINISTROS
104548790,"CACEROLA BAJA CON TAPA Y MANGO 2,2LT (CAJA 2)",,,UTENSILIOS Y SUMINISTROS
104548830,"CACEROLA CON TAPA 1,5LT INOX 16X8CM (CAJA 10)",8,cm,UTENSILIOS Y SUMINISTROS
104548840,"CACEROLA CON TAPA 3,5LT INOX 24X9,5CM (CAJA 6)",,,UTENSILIOS Y SUMINISTROS
104543720,CAFE 170 GRS (UNIDAD),170,grs,CAFE Y BEBIDAS CALIENTES
101600020,CAFE CREMA E GUSTO TARRO LAVAZZA 250 G (CAJA 12),250,g,CAFE Y BEBIDAS CALIENTES
101600051,CAFE DESCAFEINADO LAVAZZA 250 G (CAJA 12),250,g,CAFE Y BEBIDAS CALIENTES
201300001,CAFE ENTERO COPACABANA ROBUSTA 500 G (CAJA 10),500,g,CAFE Y BEBIDAS CALIENTES
104560910,CAFE ENTERO CREMA Y AROMA LAVAZZA 1 KG (CAJA 6),1,kg,CAFE Y BEBIDAS CALIENTES
104500330,CAFE ENTERO FILTRO CLASICO LAVAZZA 1 KG (CAJA 6),1,kg,CAFE Y BEBIDAS CALIENTES
104514810,CAFE ENTERO GUSTO FORTE LAVAZZA 1 KG (CAJA 6),1,kg,CAFE Y BEBIDAS CALIENTES
104524660,CAFE ENTERO TIERRA SEL LAVAZZA 1 KG (CAJA 6),1,kg,CAFE Y BEBIDAS CALIENTES
104520910,CAFE MOL ESPRESSO DESCAF LAVAZZA POD 8 G (CAJA 160),8,g,CAFE Y BEBIDAS CALIENTES
104543070,CAFE MOL FILTRO CLASICO LAVAZZA 226 G (CAJA 12),226,g,CAFE Y BEBIDAS CALIENTES
201300003,CAFE MOLIDO COPACABANA ROBUSTA 500 G (CAJA 10),500,g,CAFE Y BEBIDAS CALIENTES
104528970,CAFE MOLIDO FILTRO CLASICO LAVAZZA 1 KG (CAJA 6),1,kg,CAFE Y BEBIDAS CALIENTES
101600036,CAFE MOLIDO TIERRA BIO 180 G (CAJA 6),180,g,CAFE Y BEBIDAS CALIENTES
101600038,CAFE MOLIDO TIERRA FOR AFRICA 180G (CAJA 6),180,g,CAFE Y BEBIDAS CALIENTES
101600062,CAFE MOLIDO TIERRA FOR CUBA 180G (CAJA 6),180,g,CAFE Y BEBIDAS CALIENTES
104519130,CAFE ORGANICO HUMECO LAVAZZA 1 KG (CAJA 6),1,kg,CAFE Y BEBIDAS CALIENTES
101600070,CAFE PRONTISSIMO CLASI LATA LAVAZZA 95 G (CAJA 6),95,g,CAFE Y BEBIDAS CALIENTES
101600080,CAFE PRONTISSIMO INTEN LATA LAVAZZA 95 G (CAJA 6),95,g,CAFE Y BEBIDAS CALIENTES
104521140,"CAFE STICK NESCAFE 1,8 G (CAJA 180)","1,8",g,CAFE Y BEBIDAS CALIENTES
150001266,CAFE TRADICION GRANULADO NESCAFE 420 G (CAJA 12),420,g,CAFE Y BEBIDAS CALIENTES
150000829,CAFE TRADICIONAL CRUZEIRO 500 G (CAJA 6),500,g,CAFE Y BEBIDAS CALIENTES
104534380,CAFETERA MOKKA CARMENCITA LAVAZZA (UNIDAD),,,MAQUINAS Y REPUESTOS
92009365,CAJA DEPOSITO BORRA CAFE (UNIDAD),,,MAQUINAS Y REPUESTOS
104524790,CAJA PREMIUM COFRE (UNIDAD),,,CAJAS
104524780,CAJA PULPA 10 KG (UNIDAD),10,kg,CAJAS
104519480,CALAMAR VAINA IQF 1 KG IMPORTADO (CAJA 5),1,kg,PESCADOS Y MARISCOS
150000000,CALDO CARNE MACROFOOD 1 KG (CAJA 10),1,kg,SALSAS Y CONDIMENTOS
150000367,CALDO GALLINA MACROFOOD 1 KG (CAJA 10),1,kg,SALSAS Y CONDIMENTOS
104528600,CALLAMPAS SECAS 500 G (CAJA 10),500,g,ABARROTES
104549340,CAMARON COCIDO PELADO 100 150 IQF 1 KG (CAJA 10),1,kg,PESCADOS Y MARISCOS
104340780,CAMARON COCIDO PELADO 100 200 IQF 1 KG (CAJA 5),1,kg,PESCADOS Y MARISCOS
104547830,CAMARON CRUDO C CASCARA 36 40 1 KG (CAJA 10),1,kg,PESCADOS Y MARISCOS
104549330,CAMARON CRUDO PELADO 100 150 IQF 1 KG (CAJA 10),1,kg,PESCADOS Y MARISCOS
104340790,CAMARON CRUDO PELADO 100 200 IQF 1 KG (CAJA 5),1,kg,PESCADOS Y MARISCOS
104547810,CAMARON CRUDO PELADO DESVENADO 36 40 1KG (CAJA 10),1,kg,PESCADOS Y MARISCOS
104519290,CAMARON CRUDO PELADO DESVENADO 36 40 1KG (CAJA 5),1,kg,PESCADOS Y MARISCOS
104340050,CAMARON ECU CRUDO C CASCARA 36 40 1 KG (CAJA 10),1,kg,PESCADOS Y MARISCOS
104524720,CAMARON ECU CRUDO PEL S COLA 36 40 1KG (CAJA 10),1,kg,PESCADOS Y MARISCOS
104544770,"CAMARON MARIPOSA APANADO 1,36 KG (CAJA 4)","1,36",kg,PESCADOS Y MARISCOS
104547580,CAMARON MARIPOSA APANADO 500 GRS (CAJA 10),500,grs,PESCADOS Y MARISCOS
104516630,"CAMARON MARIPOSA APANADO COCO 1,36KG (CAJA 4)",,,PESCADOS Y MARISCOS
104545150,CAMARON NACIONAL COCIDO PEL 100 200 1 KG (CAJA 10),1,kg,PESCADOS Y MARISCOS
104543270,CANELA EN POLVO 454 G BADIA (CAJA 6),454,g,SALSAS Y CONDIMENTOS
150001897,CANELA ENTERA 125 G (CAJA 30),125,g,SALSAS Y CONDIMENTOS
104527930,CANELA ENTERA 250 G (CAJA 15),250,g,SALSAS Y CONDIMENTOS
101310045,CANELA ENTERA EDRA 15 G RRP (CAJA 25),15,g,SALSAS Y CONDIMENTOS
104527940,CANELA MOLIDA 250 G (CAJA 40),250,g,SALSAS Y CONDIMENTOS
102500012,CANNELLONI COLLEZIONE BARILLA 250G (CAJA 12),250,g,ABARROTES
104502460,CAPSULA BIANCA LAVAZZA (CAJA 50),,,CAFE Y BEBIDAS CALIENTES
104529480,CAPSULA BLUE GRAN ESPRESSO DARK ROAST 8G (CAJA 100),8,g,CAFE Y BEBIDAS CALIENTES
104521030,CAPSULA DESCAFEINADO LAVAZZA 8 G (CAJA 100),8,g,CAFE Y BEBIDAS CALIENTES
104549210,CAPSULA DOBLE ESP CANAL GRA LAVAZZA 16 G (CAJA 100),16,g,CAFE Y BEBIDAS CALIENTES
104523790,CAPSULA DOBLE ESP GOLD SEL LAVAZZA 16 G (CAJA 100),16,g,CAFE Y BEBIDAS CALIENTES
104523840,CAPSULA DOBLE ESP TOP CLASS LAVAZZA 16 G (CAJA 100),16,g,CAFE Y BEBIDAS CALIENTES
104549180,CAPSULA DOBLE ESP TRASTEVERE LAVAZZA 16G (CAJA 100),16,g,CAFE Y BEBIDAS CALIENTES
104523810,CAPSULA DOBLE GRAN ESPRESSO LAVAZZA 16 G (CAJA 100),16,g,CAFE Y BEBIDAS CALIENTES
104511800,CAPSULA ESPRESSO CAFFE CREMA LAVAZZA 8 G (CAJA 100),8,g,CAFE Y BEBIDAS CALIENTES
104549190,CAPSULA ESPRESSO CANAL GRANDE LAVAZZA 8G (CAJA 100),8,g,CAFE Y BEBIDAS CALIENTES
101600041,CAPSULA ESPRESSO CLASSICO LAVAZZA 57 G (CAJA 10),57,g,CAFE Y BEBIDAS CALIENTES
104523800,CAPSULA ESPRESSO GOLD SELECT LAVAZZA 8 G (CAJA 100),8,g,CAFE Y BEBIDAS CALIENTES
101600042,CAPSULA ESPRESSO INTENSO LAVAZZA 57 G (CAJA 10),57,g,CAFE Y BEBIDAS CALIENTES
104549360,CAPSULA ESPRESSO NAPOLI LAVAZZA 8 G (CAJA 100),8,g,CAFE Y BEBIDAS CALIENTES
101600043,CAPSULA ESPRESSO QUALITA ORO LAVAZZA 55G (CAJA 10),55,g,CAFE Y BEBIDAS CALIENTES
104511810,CAPSULA ESPRESSO ROTONDO LAVAZZA 8 G (CAJA 100),8,g,CAFE Y BEBIDAS CALIENTES
104523830,CAPSULA ESPRESSO TIERRA SEL LAVAZZA 8 G (CAJA 100),8,g,CAFE Y BEBIDAS CALIENTES
104523850,CAPSULA ESPRESSO TOP CLASS LAVAZZA 8 G (CAJA 100),8,g,CAFE Y BEBIDAS CALIENTES
104549200,CAPSULA ESPRESSO TRASTEVERE LAVAZZA 8G (CAJA 100),8,g,CAFE Y BEBIDAS CALIENTES
104540320,CARACOLES CAROZZI 400 G (DISPLAY 30),400,g,ABARROTES
104526990,CARACOLES LUCCHETTI 400 G (DISPLAY 30),400,g,ABARROTES
150000053,CARAMELO ARBOLITO 860 G (CAJA 6),860,g,ABARROTES
104537550,CARNE DE JAIBA COCIDA IVP 500 GR CONG (CAJA 10),500,gr,PESCADOS Y MARISCOS
104516760,CARNE DESHILACHADA 1 KG (CAJA 8),1,kg,CARNES
104523080,CARNE MECHADA CAMPESTRE 1 KG (CAJA 8),1,kg,CARNES
104523490,CARNE MECHADA PORCIONADA 120 GR (CAJA 50),120,gr,CARNES
105045840,CARNE MOLIDA 10% MG 1 KG (CAJA 14),1,kg,CARNES
150001998,CARNE MOLIDA 10% MG ABAROA 1 KG (CAJA 5),1,kg,CARNES
104519220,CARNE MOLIDA 4% MG 1 KG (CAJA 5),1,kg,CARNES
104519840,CARNE MOLIDA 6% MG 1 KG (CAJA 5),1,kg,CARNES
